WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-02 00:54:58,442 INFO loading MNIST from data_home=/home/shaw/milady/alberta/outputs/step2_published_mnist_openml_cache
2026-08-02 00:55:06,492 INFO running upgd_ema_norm seed=8 for 200 tasks x 5000 steps (noise_mode=step)
2026-08-02 01:13:01,914 INFO upgd_ema_norm seed=8 task 20/200 online_acc=0.8572 elapsed=1068.8s
2026-08-02 01:30:44,052 INFO upgd_ema_norm seed=8 task 40/200 online_acc=0.8580 elapsed=2130.9s
2026-08-02 01:48:21,075 INFO upgd_ema_norm seed=8 task 60/200 online_acc=0.8554 elapsed=3187.9s
2026-08-02 02:05:35,248 INFO upgd_ema_norm seed=8 task 80/200 online_acc=0.8536 elapsed=4222.1s
2026-08-02 02:21:02,954 INFO upgd_ema_norm seed=8 task 100/200 online_acc=0.8552 elapsed=5149.8s
2026-08-02 02:31:40,421 INFO upgd_ema_norm seed=8 task 120/200 online_acc=0.8468 elapsed=5787.3s
2026-08-02 02:42:38,052 INFO upgd_ema_norm seed=8 task 140/200 online_acc=0.8554 elapsed=6444.9s
2026-08-02 02:52:49,755 INFO upgd_ema_norm seed=8 task 160/200 online_acc=0.8526 elapsed=7056.6s
2026-08-02 03:02:50,512 INFO upgd_ema_norm seed=8 task 180/200 online_acc=0.8520 elapsed=7657.4s
2026-08-02 03:12:19,559 INFO upgd_ema_norm seed=8 task 200/200 online_acc=0.8664 elapsed=8226.4s
2026-08-02 03:12:20,784 INFO upgd_ema_norm seed=8 done: avg online acc 0.8537 (wall 8226.4s) -> outputs/ipmnist_screening/confirm_full/upgd_ema_norm_seed8.json
